녹번역,37.600869,126.935761,기상청,1.0861808400159533e-06
경복궁역,37.575838,126.97358,기상청,0.00013796381763966423
대청역,37.493601,127.079526,강남,7.337464281001167e-05
동대문역,37.5709411,127.0090211,강남,0.00023719388120994702
학여울역,37.496683,127.070549,강남,7.13370680999068e-06
동묘앞역,37.572258,127.015677,강남,0.0005463392012098003
을지로입구역,37.566056,126.982662,기상청,0.00012200969763995574
청량리(지하)역,37.580016,127.044746,광진,1.587145921001182e-05
삼성역,37.508861,127.063149,강남,5.548611120999971e-05
동대문역사문화공원역,37.565102,127.007765,강남,6.898797481017482e-05
강변역,37.535144,127.094672,광진,8.168363641004894e-05
신대방역,37.487519,126.913282,강서,8.07696399976405e-08
성수역,37.544569,127.055974,동대문,0.00019165910480960723
삼각지역,37.534471,126.972955,기상청,0.0009148326144404634
남태령역,37.464237,126.989097,남현,4.043560920993718e-05
매봉역,37.48703500000001,127.046918,기상청,1.3832448639939964e-05
제기동역,37.578162,127.034895,동대문,1.7691660099731259e-06
한양대역,37.555619,127.043655,동대문,0.00022840579160980507
방배역,37.481512,126.997638,남현,0.0010352241900096145
사당역,37.476559,126.981633,남현,0.00012581884561001935
신당역,37.5657816,127.0206026,강남,0.000476247693610261
옥수역,37.540514,127.018698,강남,2.8612870809963133e-05
신정네거리역,37.520209,126.852796,구로,9.539624241009381e-05
시청역,37.5657037,126.9768616,기상청,2.394242760996833e-05
강남역,37.49794199999999,127.027621,기상청,0.0001466327246406302
홍제역,37.588792,126.944094,기상청,2.2907710440049593e-05
충무로역,37.561263,126.9943172,강남,8.065656481008101e-05
신용산역,37.529187,126.967886,기상청,0.0016482950406413658
불광역,37.610069,126.930222,기상청,6.858113439965279e-06
신답역,37.569889,127.04701,동대문,6.309641610044677e-06
상계역,37.660566,127.073202,도봉,0.00032125543696011284
선릉역,37.504479,127.048941,강남,0.00012412410920991374
양재역,37.484539,127.033942,기상청,0.00036830215744060795
뚝섬역,37.54724,127.04731,동대문,0.0003935105364098655
약수역,37.554102,127.010252,강남,4.289041000179989e-08
당산역,37.5340278,126.9019901,관악,3.5979602889934884e-05
건대입구역,37.540389,127.069236,동대문,2.267759640993859e-05
을지로3가역,37.566286,126.992617,강남,3.201409561005778e-05
용두역,37.573927,127.038653,동대문,3.2656104100022285e-06
서울대입구역,37.48121,126.952712,관악,1.5228725759953861e-05
당고개역,37.67026,127.079011,도봉,0.0011173375875599017
신설동역,37.574636,127.025215,동대문,0.00021129820320981753
무악재역,37.582634,126.950134,기상청,2.4051177640055783e-05
압구정역,37.526144,127.028487,강남,9.860688600996576e-05
안국역,37.576556,126.985472,강남,6.416595610004271e-06
봉천역,37.482476,126.941574,관악,3.563612416008772e-05
고속터미널역,37.5049142,127.0049151,기상청,0.0007752270804101733
지축역,37.64811400000001,126.913746,강남,7.295941209939488e-06
쌍문역,37.6482236,127.0343875,강북,0.0003008039296899255
역삼역,37.50081000000001,127.036936,기상청,5.446439999346406e-09
영등포구청역,37.525776,126.896642,관악,5.778432256012301e-05
상왕십리역,37.5645,127.028872,동대문,0.00044163442800938677
도곡역,37.490914,127.055393,기상청,7.455977103968265e-05
오금역,37.5022335,127.128354,광진,9.622432836003422e-05
충정로역,37.56037,126.962953,기상청,0.00020589954064035226
신림역,37.484269,126.929676,강서,0.00018031655523999705
합정역,37.5495753,126.9139908,남현,0.00027526128099970604
신사역,37.51640640000001,127.0202619,기상청,1.0078152100154963e-06
압구정역,37.526144,127.028487,강남,9.860688600996576e-05
혜화역,37.58208,127.001892,강남,0.0003767830388098797
수유(강북구청)역,37.637979,127.02562,강북,2.7835585599755973e-06
회현역,37.558541,126.978203,기상청,8.615552400340916e-07
잠실나루역,37.520661,127.103822,광진,1.372628400991288e-05
서초역,37.49184,127.007688,기상청,0.0014549799936403782
잠원역,37.51296,127.011611,기상청,0.0001716414414402191
이촌역,37.5224761,126.9738155,기상청,0.0017123540563608905
신천역,37.511624,127.085585,동대문,0.00029508711961008304
낙성대역,37.477117,126.963418,남현,4.147488800998647e-05
구파발역,37.636581,126.918833,강남,8.366943840986732e-05
대치역,37.494569,127.063446,강남,4.285142521001743e-05
금호역,37.54826,127.015789,강남,2.6224641000172134e-07
남부터미널역,37.48491,127.016274,기상청,0.0013313887392410997
신도림역,37.508562,126.891336,강서,3.829134400063581e-07
종각역,37.570169,126.983099,강남,0.00012753410761007146
잠실역,37.5132357,127.1011099,동대문,1.7222499995599802e-09
종로3가역,37.570423,126.992172,강남,3.865549210016474e-06
가락시장역,37.492467,127.118742,동대문,1.0100319609996932e-05
도림천역,37.51446,126.882624,강서,1.1784115839942926e-05
성신여대입구역,37.59272,127.016544,동대문,2.624615360998683e-05
홍대입구역,37.5580798,126.9255336,남현,0.001342365026889472
경찰병원역,37.495694,127.12419,광진,7.994148100063687e-07
양천구청역,37.512322,126.865633,구로,2.3204452410037614e-05
이대역,37.556761,126.945857,기상청,0.0012287969376403294
신촌역,37.559768,126.942308,기상청,0.001267089454441049
창동역,37.65318,127.047663,노원,0.00010285407888996685
연신내역,37.619046,126.921184,기상청,6.542340839917927e-06
용답역,37.56217,127.050835,동대문,1.9102004099627055e-06
문래역,37.517989,126.894808,강서,0.00015080331203998275
구로디지털단지역,37.48525,126.901472,구로,1.5601710009960143e-05
총신대입구역,37.485381,126.982139,남현,0.0004220929160098896
미아역,37.626394,127.026132,강동,1.8525932099915485e-06
수서역,37.4874685,127.1013245,강남,0.0005871849776101816
왕십리(성동구청)역,37.560827,127.038819,동대문,0.00021730002920963853
서울역,37.5545168,126.9706483,기상청,0.0001564275504103692
종로5가역,37.570988,127.001921,강남,6.968743440994749e-05
길음역,37.603185,127.024914,광진,5.359557680994582e-05
을지로4가역,37.567418,126.998048,강남,8.18844010003391e-07
구의역,37.537145,127.086135,광진,6.259503609993063e-06
교대역,37.492975,127.013814,기상청,0.0009537720422407611
아현역,37.557382,126.956083,기상청,0.000585988531840311
독립문역,37.574453,126.957918,기상청,2.8102721440055387e-05
대림역,37.493366,126.894906,구로,3.0248900010041543e-05
일원역,37.483869,127.084032,강남,1.1154932009954436e-05
종합운동장역,37.51105099999999,127.073774,강남,0.0004106256432095591
가락시장역,37.492467,127.118742,동대문,1.0100319609996932e-05
노원역,37.656349,127.063354,도봉,1.4888793960062038e-05
명동역,37.560965,126.986464,기상청,9.51951462398247e-05
미아사거리역,37.613251,127.030084,강동,0.00011134681440996152
동대입구역,37.559051,127.005032,강남,2.285796100021584e-07
숙대입구역,37.545097,126.971987,기상청,0.0004238739792405372
한성대입구역,37.588374,127.005907,동대문,0.00040425525720998276
동작역,37.502816,126.980368,남현,0.0013110844392098787
