날짜,고급휘발유,보통휘발유,자동차용경유,실내등유
2016-01-01,1780.99,1407.15,1188.71,835.38
2016-01-02,1781.69,1405.98,1187.91,834.11
2016-01-03,1780.84,1405.33,1187.1,833.42
2016-01-04,1780.73,1403.84,1185.85,832
2016-01-05,1779.6,1402.25,1184.01,830.39
2016-01-06,1779.69,1400.78,1182.44,828.66
2016-01-07,1776.63,1399.15,1180.44,826.77
2016-01-08,1776.26,1397.36,1178.04,824.76
2016-01-09,1775.52,1395.62,1175.5,822.84
2016-01-10,1773.71,1394.79,1174.3,821.67
2016-01-11,1773.83,1393.53,1172.86,820.46
2016-01-12,1771.25,1391.91,1170.17,818.44
2016-01-13,1769.93,1390.32,1167.57,816.16
2016-01-14,1768.29,1388.78,1164.76,813.62
2016-01-15,1767.07,1387.16,1161.8,810.99
2016-01-16,1766.01,1384.83,1158.36,808.45
2016-01-17,1765.34,1383.82,1156.54,806.98
2016-01-18,1762.48,1382.41,1154.25,805.51
2016-01-19,1757.5,1379.99,1150.54,802.26
2016-01-20,1755.68,1378.33,1147.64,799.66
2016-01-21,1754.06,1376.56,1144.35,796.97
2016-01-22,1752.71,1374.76,1140.8,794.09
2016-01-23,1752.23,1373.35,1137.97,791.49
2016-01-24,1749.5,1372.69,1136.39,789.87
2016-01-25,1750.08,1371.97,1135.33,789.82
2016-01-26,1747.4,1370.04,1131.93,786.53
2016-01-27,1745.75,1368.42,1128.92,784.35
2016-01-28,1744.07,1366.94,1126.12,782.8
2016-01-29,1741.31,1365.79,1124.11,781.19
2016-01-30,1741.36,1364.86,1122.4,779.78
2016-01-31,1740.05,1364.37,1120.97,778.88
2016-02-01,1735.31,1363.04,1118.75,777.67
2016-02-02,1733.68,1362.19,1117.02,775.91
2016-02-03,1734.87,1361.18,1115.02,774.5
2016-02-04,1734.59,1360.25,1113.01,773.08
2016-02-05,1733.9,1359.75,1111.98,771.95
2016-02-06,1734.08,1359.05,1110.29,771.05
2016-02-07,1735.11,1358.65,1109.39,770.26
2016-02-08,1733.51,1358.5,1109.05,770.06
2016-02-09,1730.38,1358.41,1108.73,769.43
2016-02-10,1727.58,1358.06,1108.27,768.75
2016-02-11,1727.48,1356.99,1107.26,767.72
2016-02-12,1725.91,1355.48,1104.71,767
2016-02-13,1725.33,1354.01,1102.64,765.77
2016-02-14,1726.28,1353.17,1101.51,765.24
2016-02-15,1725.34,1352.28,1100.93,764.67
2016-02-16,1720.43,1350.34,1098.49,762.99
2016-02-17,1718.39,1348.76,1096.73,761.74
2016-02-18,1717.46,1347.55,1095.22,759.12
2016-02-19,1715.9,1346.59,1094.2,758.41
2016-02-20,1715.64,1345.74,1093.17,758.13
2016-02-21,1713.38,1345.43,1092.36,757.66
2016-02-22,1712.49,1344.98,1092.17,757.38
2016-02-23,1712.79,1344.25,1091.84,757.13
2016-02-24,1711.37,1343.66,1091.53,756.88
2016-02-25,1711.97,1343.08,1090.86,756.48
2016-02-26,1712.72,1342.29,1090.25,756.38
2016-02-27,1711.58,1341.76,1089.49,755.98
2016-02-28,1710.64,1341.4,1088.76,755.66
2016-02-29,1710.52,1341.37,1089.29,753.96
2016-03-01,1710.14,1340.74,1088.41,753.14
2016-03-02,1709.96,1340.27,1088.33,752.69
2016-03-03,1709.56,1340.13,1088.29,751.73
2016-03-04,1709.38,1339.83,1088.06,751.34
2016-03-05,1709.42,1339.72,1087.84,751.09
2016-03-06,1710.23,1339.69,1087.61,750.87
2016-03-07,1710.84,1339.72,1088.15,750.87
2016-03-08,1714.22,1340.13,1089.14,751.53
2016-03-09,1713.47,1341.06,1090.68,751.76
2016-03-10,1713.65,1341.53,1091.69,751.95
2016-03-11,1711.74,1342.6,1093.17,751.89
2016-03-12,1712.91,1343.85,1094.88,752.31
2016-03-13,1713.24,1344.49,1095.27,752.59
2016-03-14,1712.36,1345.83,1097.75,753.32
2016-03-15,1720.01,1348.46,1100.78,754.36
2016-03-16,1722.41,1350.27,1103.27,755.55
2016-03-17,1722.7,1351.52,1105.22,756.51
2016-03-18,1722.64,1352.76,1106.8,757.34
2016-03-19,1722.79,1354.35,1108.79,757.94
2016-03-20,1723.22,1355.09,1109.41,758.22
2016-03-21,1724.71,1356.32,1111.73,758.47
2016-03-22,1729.33,1357.61,1113.6,758.92
2016-03-23,1728.36,1358.65,1115.2,759.17
2016-03-24,1729.42,1359.53,1116.67,759.88
2016-03-25,1728.09,1360.12,1117.54,760.32
2016-03-26,1728.65,1360.72,1118.37,761.25
2016-03-27,1728.16,1361.01,1118.52,761.39
2016-03-28,1724.29,1361.44,1119.62,761.54
2016-03-29,1722.4,1361.96,1120.38,761.86
2016-03-30,1721.5,1362.26,1121.01,761.55
2016-03-31,1723.93,1362.41,1121.35,761.56
2016-04-01,1722.59,1362.75,1121.92,761.46
2016-04-02,1723.15,1362.9,1121.94,761.49
2016-04-03,1723.02,1362.81,1121.64,761.4
2016-04-04,1720.92,1362.84,1122.02,761.49
2016-04-05,1721.91,1362.58,1121.99,760.97
2016-04-06,1721.87,1362.4,1121.95,760.93
2016-04-07,1720.69,1362.24,1121.66,760.82
2016-04-08,1721.37,1362.09,1121.62,760.71
2016-04-09,1718.74,1361.78,1121.14,760.66
2016-04-10,1718.81,1361.75,1120.64,760.06
2016-04-11,1721.66,1361.61,1121.04,760.07
2016-04-12,1720.35,1361.38,1120.72,759.62
2016-04-13,1720.66,1361.19,1120.38,759.17
2016-04-14,1719.04,1361.15,1120.72,758.93
2016-04-15,1718.52,1361.3,1120.93,758.51
2016-04-16,1718.89,1361.59,1120.85,758.68
2016-04-17,1717.04,1361.59,1120.65,758.8
2016-04-18,1717.84,1361.44,1121.16,758.89
2016-04-19,1718.85,1361.56,1121.43,759.1
2016-04-20,1719.51,1361.42,1121.3,758.81
2016-04-21,1720.98,1361.3,1121,759.1
2016-04-22,1720.61,1361.23,1121.24,758.84
2016-04-23,1721.68,1361.25,1121.06,758.59
2016-04-24,1722.25,1361.21,1120.64,758.11
2016-04-25,1721.09,1361.16,1121.18,758.17
2016-04-26,1720.17,1361.03,1121.39,757.74
2016-04-27,1720.54,1360.93,1121.33,757.15
2016-04-28,1720.23,1361.33,1121.62,757.5
2016-04-29,1720.2,1361.77,1122.5,757.84
2016-04-30,1721.78,1362.67,1123.1,757.86
2016-05-01,1720.88,1363.29,1123.54,757.59
2016-05-02,1719.76,1363.37,1123.58,757.48
2016-05-03,1731.48,1367.44,1128.24,758.24
2016-05-04,1734.13,1369.3,1130.45,759.29
2016-05-05,1736.94,1371.12,1132.32,760.04
2016-05-06,1736.74,1372.22,1133.6,759.98
2016-05-07,1736.67,1373.11,1134.67,759.69
2016-05-08,1735.09,1373.62,1134.92,759.6
2016-05-09,1736.77,1374.28,1136.36,759.51
2016-05-10,1735.72,1375.3,1137.6,760
2016-05-11,1736.28,1376.37,1138.9,760.12
2016-05-12,1739.78,1378.2,1141.13,760.87
2016-05-13,1740.53,1380.08,1144.06,761.13
2016-05-14,1740.42,1381.95,1146.51,761.23
2016-05-15,1741.42,1382.69,1147.53,761.47
2016-05-16,1741.46,1384.07,1149.99,761.97
2016-05-17,1745.23,1386.72,1154.25,763.2
2016-05-18,1747.72,1389.21,1158.47,764.06
2016-05-19,1750.56,1391.74,1162.42,764.51
2016-05-20,1751.5,1394.34,1166.9,765.33
2016-05-21,1753.16,1396.84,1170.37,765.66
2016-05-22,1753.68,1398.06,1171.85,766.22
2016-05-23,1753.27,1399.86,1175.31,767.47
2016-05-24,1763.73,1404.27,1180.74,768.68
2016-05-25,1768.84,1407.38,1185.69,769.8
2016-05-26,1773.33,1410.44,1189.97,770.98
2016-05-27,1774.13,1413.54,1194.28,772.15
2016-05-28,1775.16,1415.85,1197.22,773.34
2016-05-29,1775.46,1416.79,1198.23,774.2
2016-05-30,1775.98,1418.34,1201.06,775.44
2016-05-31,1778.66,1420.46,1204.04,776.31
2016-06-01,1780.62,1424.12,1208.59,777.94
2016-06-02,1782.14,1425.85,1210.95,779.38
2016-06-03,1783.01,1427.54,1213.04,780.38
2016-06-04,1783.73,1429.27,1214.69,781.21
2016-06-05,1783.62,1430.04,1215.32,781.93
2016-06-06,1785.29,1430.79,1216.25,782.76
2016-06-07,1785.92,1431.82,1218.19,783.5
2016-06-08,1784.88,1433.14,1219.88,784.73
2016-06-09,1784.21,1434.56,1221.61,785.56
2016-06-10,1785.11,1435.99,1223.24,786.37
2016-06-11,1784.29,1437.02,1224.36,786.83
2016-06-12,1782.73,1437.52,1224.67,786.92
2016-06-13,1784.31,1438.34,1226.12,787.68
2016-06-14,1785.61,1439.75,1227.97,788.57
2016-06-15,1786.35,1440.58,1228.8,789.3
2016-06-16,1786.06,1441.06,1229.47,789.89
2016-06-17,1785.04,1441.35,1229.96,790.81
2016-06-18,1786.06,1441.47,1230.07,791.04
2016-06-19,1787.85,1441.66,1229.98,791.46
2016-06-20,1788.05,1441.74,1230.54,791.3
2016-06-21,1785.87,1441.91,1230.52,791.84
2016-06-22,1785.29,1442.11,1230.79,792.1
2016-06-23,1785.05,1442.25,1231.15,792.1
2016-06-24,1784.5,1442.36,1231.23,792.28
2016-06-25,1783.9,1442.42,1231.34,792.02
2016-06-26,1783.71,1442.37,1231.16,792.46
2016-06-27,1784.78,1442.56,1231.78,792.7
2016-06-28,1786.5,1442.54,1231.82,792.32
2016-06-29,1786.59,1442.63,1232.03,792.05
2016-06-30,1787.39,1442.66,1232.11,792.35
2016-07-01,1787,1442.78,1232.32,792.3
2016-07-02,1787.67,1442.69,1232.08,791.81
2016-07-03,1786.81,1442.7,1231.96,791.28
2016-07-04,1786.72,1442.58,1232.22,791.26
2016-07-05,1785.06,1442.61,1232.2,791.31
2016-07-06,1784.49,1442.32,1232.17,791.8
2016-07-07,1783.62,1442.17,1232.05,791.84
2016-07-08,1784.08,1441.92,1231.97,791.89
2016-07-09,1784.98,1441.65,1231.63,792.37
2016-07-10,1785.36,1441.53,1231.39,792.4
2016-07-11,1785.37,1441.24,1231.47,792.62
2016-07-12,1783.1,1440.68,1231.22,792.48
2016-07-13,1782.01,1440.31,1230.99,793.09
2016-07-14,1782.21,1439.83,1230.67,793.17
2016-07-15,1783.4,1439.19,1230.3,793.1
2016-07-16,1782.35,1438.53,1229.54,792.92
2016-07-17,1781.84,1438.33,1229.25,793.01
2016-07-18,1781.13,1437.68,1229.14,793.36
2016-07-19,1775.51,1436.74,1228.32,793.88
2016-07-20,1773.66,1435.79,1227.51,793.87
2016-07-21,1773.87,1435.11,1227.01,793.83
2016-07-22,1774.43,1434.37,1226.41,793.6
2016-07-23,1774.37,1433.31,1225.62,793.02
2016-07-24,1773.98,1432.93,1225.08,792.46
2016-07-25,1770.82,1432.16,1224.72,792.51
2016-07-26,1770.15,1431.05,1223.96,792.45
2016-07-27,1768.47,1430.01,1223.04,791.87
2016-07-28,1767.5,1429.05,1222.3,791.98
2016-07-29,1769.15,1428.22,1221.66,791.81
2016-07-30,1770.11,1427.4,1220.97,791.48
2016-07-31,1770.4,1426.97,1220.28,791.15
2016-08-01,1768.99,1425.7,1219.48,791.34
2016-08-02,1764.3,1423.66,1217.7,790.76
2016-08-03,1763.52,1422.19,1216.41,791.02
2016-08-04,1763.39,1420.84,1215.29,790.14
2016-08-05,1762.4,1419.47,1214.05,790.24
2016-08-06,1762.43,1418.33,1212.89,789.92
2016-08-07,1759.99,1417.72,1212.26,789.62
2016-08-08,1759.58,1416.63,1211.56,789.36
2016-08-09,1757.43,1414.73,1209.86,789.31
2016-08-10,1757.07,1413.51,1208.77,789.16
2016-08-11,1757.69,1412.32,1207.7,789.22
2016-08-12,1758.78,1411.29,1206.75,789.05
2016-08-13,1757.95,1410.28,1205.79,788.71
2016-08-14,1758.43,1409.94,1205.36,788.62
2016-08-15,1757.75,1409.44,1205.11,788.24
2016-08-16,1756.85,1408.53,1204.49,788.04
2016-08-17,1755.45,1407.67,1203.66,787.79
2016-08-18,1754.44,1406.95,1203.18,787.13
2016-08-19,1754.1,1406.6,1202.91,786.78
2016-08-20,1753.65,1406.56,1202.61,785.94
2016-08-21,1754.03,1406.5,1202.41,786.26
2016-08-22,1754.38,1406.34,1202.61,786.12
2016-08-23,1758.06,1406.87,1203.35,786.5
2016-08-24,1759.4,1406.92,1203.36,786.3
2016-08-25,1760.65,1406.92,1203.4,785.87
2016-08-26,1761.25,1407.15,1203.45,785.43
2016-08-27,1761.27,1407.43,1203.53,785.31
2016-08-28,1761.15,1407.55,1203.26,784.92
2016-08-29,1761.68,1407.76,1203.96,784.76
2016-08-30,1763.27,1408.15,1204.15,785
2016-08-31,1762.65,1408.54,1204.6,785.11
2016-09-01,1761.44,1408.72,1204.69,785.56
2016-09-02,1762.91,1408.6,1204.45,785.62
2016-09-03,1764.24,1408.51,1204.24,785.72
2016-09-04,1764.51,1408.46,1203.94,785.8
2016-09-05,1762.94,1408.52,1204.27,786.02
2016-09-06,1762.31,1408.3,1203.91,785.96
2016-09-07,1762.77,1408.19,1203.76,785.32
2016-09-08,1763.43,1408.12,1203.7,785.31
2016-09-09,1762.44,1408.26,1203.61,785.7
2016-09-10,1761.11,1408.38,1203.45,785.37
2016-09-11,1760.55,1408.33,1203.18,785.46
2016-09-12,1759.59,1408.6,1203.64,785.5
2016-09-13,1759.27,1408.78,1203.68,785.34
2016-09-14,1759.52,1408.92,1203.51,785.17
2016-09-15,1759.73,1409.06,1203.55,784.94
2016-09-16,1759.41,1409,1203.43,784.03
2016-09-17,1759.49,1408.91,1203.36,783.86
2016-09-18,1759.74,1408.81,1203.19,783.48
2016-09-19,1759.15,1408.84,1203.5,783.52
2016-09-20,1758.17,1408.52,1203.1,783.09
2016-09-21,1760.33,1408.21,1202.83,783.25
2016-09-22,1759.97,1407.97,1202.35,782.91
2016-09-23,1759.42,1407.83,1202.22,782.94
2016-09-24,1759.74,1407.49,1201.83,783.01
2016-09-25,1759.26,1407.49,1201.52,782.67
2016-09-26,1758.15,1407.36,1201.82,782.82
2016-09-27,1759.81,1407.21,1201.45,782.89
2016-09-28,1759.31,1406.94,1201.15,782.53
2016-09-29,1758.28,1406.86,1201.05,782.11
2016-09-30,1758.5,1406.79,1200.91,782.66
2016-10-01,1758.68,1406.78,1200.72,783.44
2016-10-02,1758.71,1406.77,1200.4,783.43
2016-10-03,1758.06,1406.78,1200.57,783.51
2016-10-04,1758.12,1406.71,1200.82,783.19
2016-10-05,1757.47,1406.62,1200.52,783.08
2016-10-06,1760.25,1406.82,1200.78,782.91
2016-10-07,1760.33,1407.26,1201.31,782.72
2016-10-08,1760.86,1407.8,1201.57,782.76
2016-10-09,1760.37,1408.11,1201.75,783
2016-10-10,1760.97,1408.67,1202.61,784.12
2016-10-11,1763.73,1411.26,1205.67,785.16
2016-10-12,1765.23,1412.68,1207.19,786.07
2016-10-13,1766.28,1413.89,1208.51,787.18
2016-10-14,1766.69,1414.86,1209.5,788.08
2016-10-15,1766.56,1415.71,1210.19,788.76
2016-10-16,1766.93,1416.26,1210.47,789.1
2016-10-17,1767.25,1417.09,1211.74,789.77
2016-10-18,1770.35,1418.95,1213.44,790.57
2016-10-19,1770.92,1419.89,1214.69,791.35
2016-10-20,1771.71,1420.88,1215.8,791.88
2016-10-21,1773.61,1421.9,1216.78,792.54
2016-10-22,1774.54,1422.82,1217.66,793.56
2016-10-23,1775.5,1423.33,1217.98,793.69
2016-10-24,1775.56,1424.17,1219.2,794.23
2016-10-25,1776.19,1425.4,1220.43,794.45
2016-10-26,1776.9,1426.18,1221.5,795.24
2016-10-27,1776.77,1426.75,1222.08,795.6
2016-10-28,1774.87,1427.18,1222.37,796.04
2016-10-29,1774.3,1427.45,1222.68,797
2016-10-30,1772.59,1427.64,1222.79,797.37
2016-10-31,1772.95,1428,1223.48,798.27
2016-11-01,1773.84,1428.72,1224.29,799.5
2016-11-02,1775.24,1428.98,1224.76,800.42
2016-11-03,1777.3,1429.12,1224.86,800.47
2016-11-04,1777.28,1429.26,1224.96,801
2016-11-05,1777.32,1429.27,1224.94,801.18
2016-11-06,1777.93,1429.37,1224.7,801.29
2016-11-07,1779.2,1429.45,1225.2,801.38
2016-11-08,1773.07,1428.99,1224.63,800.97
2016-11-09,1772.9,1428.81,1224.5,800.92
2016-11-10,1773.76,1428.61,1224.44,800.92
2016-11-11,1772.76,1428.44,1224.23,800.8
2016-11-12,1771.14,1428.2,1223.9,800.81
2016-11-13,1770.12,1428.15,1223.65,800.61
2016-11-14,1770.41,1428.08,1223.89,800.57
2016-11-15,1767.06,1427.23,1223.02,800.37
2016-11-16,1765.77,1426.72,1222.71,800.36
2016-11-17,1765.68,1426.43,1222.37,800.26
2016-11-18,1766.73,1426.06,1222.02,799.96
2016-11-19,1764.58,1425.64,1221.54,799.69
2016-11-20,1763.07,1425.33,1220.99,799.53
2016-11-21,1764.45,1424.99,1221.04,799.3
2016-11-22,1765.63,1424.75,1220.73,799.25
2016-11-23,1765.23,1424.62,1220.62,799.29
2016-11-24,1766.14,1424.49,1220.48,799.2
2016-11-25,1765.16,1424.51,1220.55,799.27
2016-11-26,1764.18,1424.41,1220.26,799.36
2016-11-27,1763.36,1424.44,1220.03,799.09
2016-11-28,1763.76,1424.49,1220.43,799.19
2016-11-29,1770.95,1425.31,1221.11,799.88
2016-11-30,1772.76,1425.53,1221.21,799.86
2016-12-01,1772.23,1425.98,1221.73,800.09
2016-12-02,1774.87,1428.26,1224,800.59
2016-12-03,1775.49,1429.71,1225.36,801.37
2016-12-04,1775.25,1430.46,1225.87,801.83
2016-12-05,1776.37,1431.78,1227.52,802.85
2016-12-06,1778.86,1433.59,1229.35,804.13
2016-12-07,1779.61,1435.25,1231.05,805.16
2016-12-08,1782.93,1437.46,1233.16,806.02
2016-12-09,1783.12,1439.12,1234.92,807.03
2016-12-10,1783.86,1440.56,1236,808.17
2016-12-11,1783.36,1441.54,1236.84,808.41
2016-12-12,1783.38,1443.66,1239.16,809.91
2016-12-13,1791.54,1448.27,1243.56,812.52
2016-12-14,1795.14,1452.27,1247.64,815.97
2016-12-15,1797.11,1455.06,1250.31,818.41
2016-12-16,1798.95,1457.55,1252.84,821.02
2016-12-17,1799.28,1459.79,1254.74,822.29
2016-12-18,1799.75,1460.66,1255.3,822.89
2016-12-19,1799.16,1462.22,1257.12,824.05
2016-12-20,1802.03,1464.25,1259.14,825.65
2016-12-21,1802.58,1466,1260.81,827.09
2016-12-22,1803.08,1467.29,1262.02,828.18
2016-12-23,1803.28,1468.86,1263.65,829.49
2016-12-24,1803.8,1470.58,1265.23,830.77
2016-12-25,1805.27,1471.47,1265.82,831.26
2016-12-26,1807,1472.98,1267.69,832.62
2016-12-27,1810.05,1475.47,1269.74,834.25
2016-12-28,1812.7,1477.59,1271.73,836.01
2016-12-29,1815.02,1479.72,1273.64,837.4
2016-12-30,1814.85,1481.74,1275.73,839.22
2016-12-31,1815.56,1483.7,1277.36,840.49
